"Source","Id","Title","Published","Link"
"0","6502","Simpler Times","11/15/17 12:35:59 PM","http://www.poorlydrawnlines.com/comic/simpler-times/"
"1","1916","Temperature Preferences","11/15/17 12:00:00 AM","http://xkcd.com/1916"
